run,universe,direction,horizon_h,comparison,diff_gross,t_gross,p_gross,diff_net,se,t_stat_clustered,p_value_raw,ci_lo,ci_hi,diff_neutral_gross,t_neutral_gross,ci_lo_neutral,ci_hi_neutral,diff_neutral_net,t_neutral_net,n_days,n_obs,p_value_bonferroni
R2,live_diag,long,48,Q5 - Q1,-0.0024031596435018683,-3.2844037613212795,0.0010708101582148507,-0.004329619180136528,0.0007509914082031083,-5.765204678567464,1.2055422671877856e-08,-0.0058039898659387745,-0.0028552484943342813,-0.0024147584681090202,-3.3002168091001454,-0.0038512430133679394,-0.0009782739228501008,-0.00434887787844893,-5.79398375270673,728,116187,2.338751998344304e-06
R2,live_diag,short,48,Q5 - Q1,0.0024031596435018683,3.2844037613212795,0.0010708101582148507,0.0043296191801365305,0.0007509914082031066,5.76520467856748,1.2055422671876794e-08,0.0028552484943342874,0.005803989865938774,0.0024147584681090202,3.3002168091001454,0.0009782739228501008,0.0038512430133679394,0.0043488778784489205,5.793983752706716,728,116187,2.338751998344098e-06
R3,live_diag,long,48,Q5 - Q1,-0.0019235021084952463,-2.160789084618574,0.031036693358817716,-0.00031573743399611597,0.0009042554555906083,-0.3491684037337593,0.7270639932921803,-0.0020910010676900145,0.0014595261996977827,-0.0019318535655990236,-2.170091435889844,-0.0036795496084956972,-0.00018415752270235005,-0.000338202751357772,-0.374474883458568,728,116306,1.0
R3,live_diag,short,48,Q5 - Q1,0.0019235021084952463,2.160789084618574,0.031036693358817716,0.00031573743399610676,0.0009042554555906106,0.34916840373374824,0.7270639932921887,-0.0014595261996977963,0.0020910010676900097,0.0019318535655990236,2.170091435889844,0.00018415752270235005,0.0036795496084956972,0.0003382027513578287,0.3744748834586308,728,116306,1.0
R4,live_diag,long,48,Q5 - Q1,-0.002172461166393003,-2.1424838813167804,0.0324851308480959,-0.001856253689177294,0.001025403529287578,-1.8102665303550962,0.07066721924239285,-0.003869359149753871,0.00015685177139928273,-0.0021804906691838496,-2.1515909177674533,-0.0041700837518239406,-0.00019089758654375864,-0.0018738979038297177,-1.8275884883648776,728,116235,1.0
R4,live_diag,short,48,Q5 - Q1,0.002172461166393003,2.1424838813167804,0.0324851308480959,0.0018562536891773352,0.0010254035292875767,1.8102665303551386,0.07066721924238624,-0.00015685177139923893,0.003869359149753909,0.0021804906691838496,2.1515909177674533,0.00019089758654375864,0.0041700837518239406,0.0018738979038296472,1.8275884883648095,728,116235,1.0
R4,live_diag,long,48,Q5|L1 - Q1|L1,-0.002278664122996715,-1.0988780455818685,0.272184040980897,-0.0025134991415428033,0.002096467891820171,-1.1989208856237537,0.23094934760458471,-0.006629352891216237,0.0016023546081306303,-0.0011101728818275693,-0.6724971594516794,-0.004351104684532016,0.0021307589208768777,-0.0012812947758878816,-0.7669302119384859,728,23611,1.0
R4,live_diag,short,48,Q5|L1 - Q1|L1,0.002278664122996715,1.0988780455818685,0.272184040980897,0.002513499141542829,0.0020964678918201723,1.1989208856237652,0.23094934760458027,-0.0016023546081306073,0.0066293528912162655,0.0011101728818275693,0.6724971594516794,-0.0021307589208768777,0.004351104684532016,0.0012812947758878963,0.766930211938495,728,23611,1.0
R4,live_diag,long,48,Q5|L2 - Q1|L2,-0.00358555599845509,-2.522856545558101,0.011852245090847674,-0.00313012815339979,0.0014329251325405858,-2.1844324468299696,0.029249213871586414,-0.005943293240630403,-0.0003169630661691769,-0.0035815505117766425,-2.7931837430925284,-0.006098887209373637,-0.0010642138141796478,-0.00316578217276627,-2.4391282116233888,728,42728,1.0
R4,live_diag,short,48,Q5|L2 - Q1|L2,0.00358555599845509,2.522856545558101,0.011852245090847674,0.003130128153399832,0.001432925132540583,2.1844324468300034,0.029249213871583923,0.00031696306616922415,0.00594329324063044,0.0035815505117766425,2.7931837430925284,0.0010642138141796478,0.006098887209373637,0.003165782172766262,2.4391282116233834,728,42728,1.0
